Title,year,SJR,h-index,avg_citations
Agricultural History Review,2012,0.605,17,0.52
North American Journal of Economics and Finance,2012,0.597,29,1.0
Journal of Pension Economics and Finance,2012,0.596,22,0.96
Economics of Innovation and New Technology,2012,0.59,26,1.05
European Journal of Finance,2012,0.586,24,0.56
Journal of Asian Economics,2012,0.582,37,1.11
IMA Journal Management Mathematics,2012,0.579,27,0.81
Revista de Historia Economica - Journal of Iberian and Latin American Economic History,2012,0.576,15,0.9
B.E. Journal of Macroeconomics,2012,0.572,15,0.24
Electronic Commerce Research,2012,0.566,31,2.42
Studies in Nonlinear Dynamics and Econometrics,2012,0.564,25,0.76
Economic Modelling,2012,0.564,50,0.84
Journal of Sports Economics,2012,0.561,36,1.07
Journal of Economics and Business,2012,0.558,43,0.78
Journal of Cultural Economics,2012,0.557,34,0.78
International Review of Law and Economics,2012,0.556,37,0.88
Constitutional Political Economy,2012,0.552,23,0.67
International Journal of Market Research,2012,0.548,43,0.84
Quarterly Review of Economics and Finance,2012,0.546,42,0.97
Historical Materialism,2012,0.546,24,0.41
International Journal of Digital Accounting Research,2012,0.545,8,2.08
Annals of Public and Cooperative Economics,2012,0.545,29,1.22
Emerging Markets Review,2012,0.54,39,1.63
Journal of Revenue and Pricing Management,2012,0.539,17,0.75
Engineering Economics,2012,0.533,24,1.21
Journal of Family and Economic Issues,2012,0.529,38,1.42
Empirical Economics,2012,0.529,45,0.78
Journal of Macroeconomics,2012,0.528,37,0.85
China and World Economy,2012,0.526,22,0.86
Globalizations,2012,0.523,30,1.21
Strategic Entrepreneurship Journal,2012,0.522,23,1.05
International Journal of Gender and Entrepreneurship,2012,0.518,19,0.9
Geneva Papers on Risk and Insurance: Issues and Practice,2012,0.514,25,0.67
Public Budgeting and Finance,2012,0.514,20,0.54
Journal of Developmental Entrepreneurship,2012,0.513,18,0.5
Competition Policy International,2012,0.512,10,0.98
"Journal of International Accounting, Auditing and Taxation",2012,0.512,33,1.53
International Finance,2012,0.511,34,0.68
"Journal of Accounting, Auditing and Finance",2012,0.5,38,0.61
International Journal of Finance and Economics,2012,0.499,33,0.82
Accounting in Europe,2012,0.499,12,1.43
Journal of Social Entrepreneurship,2012,0.495,16,1.87
Journal of Consumer Policy,2012,0.495,34,1.38
International Journal of Accounting,2012,0.493,45,1.15
Indian Economic and Social History Review,2012,0.493,15,0.57
Canadian Journal of Agricultural Economics,2012,0.488,30,1.03
Bulletin of Indonesian Economic Studies,2012,0.486,27,1.42
Agricultural Finance Review,2012,0.486,18,0.55
Review of Pacific Basin Financial Markets and Policies,2012,0.484,13,0.48
Journal of Alternative Investments,2012,0.483,13,0.82
Economists' Voice,2012,0.483,13,0.5
"Journal of International Financial Markets, Institutions and Money",2012,0.48,42,0.78
Jahrbucher für Nationalokonomie und Statistik,2012,0.478,17,0.5
International Journal of Consumer Studies,2012,0.478,50,0.92
International Social Security Review,2012,0.477,21,1.15
Accounting Forum,2012,0.477,32,1.44
Cato Journal,2012,0.474,26,0.45
Foresight,2012,0.474,24,0.92
GAIA,2012,0.473,22,1.06
Foundations and Trends in Marketing,2012,0.468,11,1.14
Journal of Post Keynesian Economics,2012,0.46,34,1.11
Asian Economic Papers,2012,0.458,11,0.91
Journal of Advanced Transportation,2012,0.455,31,0.59
Emerging Markets Finance and Trade,2012,0.455,24,1.26
Review of Radical Political Economics,2012,0.453,23,0.94
Economics of Governance,2012,0.452,21,0.7
Research in International Business and Finance,2012,0.45,27,1.31
AStA Advances in Statistical Analysis,2012,0.449,19,1.16
Journal of Economics/ Zeitschrift für Nationalokonomie,2012,0.448,26,0.56
International Journal of the Economics of Business,2012,0.441,21,0.53
International Journal of Health Care Finance and Economics,2012,0.44,24,0.88
Consumption Markets and Culture,2012,0.439,19,1.13
Open Economies Review,2012,0.436,27,0.53
Journal of Economic Issues,2012,0.436,36,0.68
Journal of World Trade,2012,0.434,29,0.83
CESifo Economic Studies,2012,0.433,23,0.83
Applied Financial Economics,2012,0.432,44,0.51
China Economic Journal,2012,0.431,11,0.85
Agricultural and Resource Economics Review,2012,0.43,24,0.51
Accounting and Finance,2012,0.429,38,1.1
International Review of Applied Economics,2012,0.421,31,0.79
Energy Systems,2012,0.415,17,1.58
International Review of Financial Analysis,2012,0.414,38,0.94
GENEVA Risk and Insurance Review,2012,0.411,17,0.94
Manchester School,2012,0.411,34,0.61
International Journal of Sport Finance,2012,0.407,15,0.93
Engineering Economist,2012,0.405,28,0.63
International Review of Finance,2012,0.399,12,0.85
Contemporary Economic Policy,2012,0.399,41,0.96
Journal of Financial Counseling and Planning,2012,0.399,29,0.5
"Environment, Development and Sustainability",2012,0.398,43,1.02
Journal of Education Finance,2012,0.398,11,0.54
Journal of Behavioral and Experimental Economics,2012,0.397,48,0.74
Journal of Corporate Real Estate,2012,0.392,19,0.44
Journal of Real Estate Portfolio Management,2012,0.391,15,0.41
Structural Change and Economic Dynamics,2012,0.391,38,0.56
Review of Austrian Economics,2012,0.391,28,0.71
Economics and Philosophy,2012,0.386,32,0.83
Venture Capital,2012,0.386,39,1.5
Portuguese Economic Journal,2012,0.384,11,0.5
Review of Social Economy,2012,0.383,27,0.86
Journal of International Financial Management and Accounting,2012,0.383,30,1.0
Applied Economics Letters,2012,0.382,39,0.4
"City, Culture and Society",2012,0.381,16,1.12
Tijdschrift voor Sociale en Economische Geschiedenis,2012,0.376,10,0.32
Review of Political Economy,2012,0.375,22,0.87
Post-Communist Economies,2012,0.373,22,0.69
Review of Industrial Organization,2012,0.373,49,0.64
National Institute Economic Review,2012,0.372,27,0.45
China Agricultural Economic Review,2012,0.372,13,0.54
FinanzArchiv,2012,0.37,12,0.49
Finance a Uver,2012,0.365,15,0.34
Japan and the World Economy,2012,0.364,28,0.57
Computational Economics,2012,0.363,33,0.6
Financial Markets and Portfolio Management,2012,0.362,18,0.71
Journal of Economic Policy Reform,2012,0.357,14,0.66
American Journal of Economics and Sociology,2012,0.357,31,0.6
Journal of Financial Regulation and Compliance,2012,0.357,14,0.45
Prague Economic Papers,2012,0.357,10,0.59
Environmental Economics and Policy Studies,2012,0.354,15,0.78
ClinicoEconomics and Outcomes Research,2012,0.353,19,1.5
Local Economy,2012,0.353,30,0.68
European Journal of the History of Economic Thought,2012,0.352,15,0.43
Economic Record,2012,0.35,37,0.55
Foundations and Trends in Microeconomics,2012,0.347,13,0.29
Entreprises et Histoire,2012,0.347,7,0.16
Journal of Multinational Financial Management,2012,0.346,34,0.64
German Journal of Agricultural Economics,2012,0.346,7,0.52
International Review of Economics,2012,0.344,11,0.5
Politicka Ekonomie,2012,0.344,14,0.67
Journal of Applied Economics,2012,0.344,16,0.69
Economic Change and Restructuring,2012,0.34,15,0.83
Fiscal Studies,2012,0.34,34,0.53
Finance Research Letters,2012,0.339,21,0.47
Young Consumers,2012,0.336,19,0.53
Journal of Asia Business Studies,2012,0.336,8,0.2
Electronic Markets,2012,0.335,21,1.25
Public Finance Review,2012,0.332,26,0.38
Journal of Media Economics,2012,0.33,26,0.36
European Actuarial Journal,2012,0.328,8,0.43
Journal of Banking Regulation,2012,0.326,10,0.5
E a M: Ekonomie a Management,2012,0.325,16,0.72
Social Marketing Quarterly,2012,0.324,21,0.83
SERIEs,2012,0.32,9,0.47
Journal of Agribusiness in Developing and Emerging Economies,2012,0.32,6,1.29
Economic and Political Weekly,2012,0.319,39,0.44
Journal of Institutional and Theoretical Economics,2012,0.317,30,0.48
University of Pennsylvania Journal of International Economic Law,2012,0.317,20,0.89
Bulletin of Economic Research,2012,0.316,24,0.38
Journal of Economic Interaction and Coordination,2012,0.315,16,0.91
Scottish Journal of Political Economy,2012,0.314,42,0.55
Australasian Marketing Journal,2012,0.308,24,0.97
Australian Economic Review,2012,0.307,25,0.48
Journal of Real Estate Literature,2012,0.307,14,0.81
Journal of Economics and Finance,2012,0.305,25,0.3
Review of Financial Economics,2012,0.305,32,0.51
International Economics and Economic Policy,2012,0.305,18,0.98
Agricultural Economics (Czech Republic),2012,0.304,16,0.81
"International Review of Retail, Distribution and Consumer Research",2012,0.301,16,0.73
Journal for Labour Market Research,2012,0.301,10,0.57
History of Political Economy,2012,0.299,25,0.43
Pacific Rim Property Research Journal,2012,0.298,13,0.4
International Journal of Applied Decision Sciences,2012,0.297,13,1.26
Economie Internationale,2012,0.296,12,0.34
Romanian Journal of Economic Forecasting,2012,0.295,12,0.54
"Politics, Philosophy and Economics",2012,0.294,16,0.51
International Journal of Sociology and Social Policy,2012,0.294,20,0.96
Risk Management,2012,0.293,10,0.65
Letters in Spatial and Resource Sciences,2012,0.293,10,1.2
Global Finance Journal,2012,0.287,26,0.36
Agrekon,2012,0.287,19,0.33
Economic and Social Review,2012,0.285,22,0.6
Economie et Statistique,2012,0.284,9,0.4
Managerial Auditing Journal,2012,0.283,43,0.72
Metroeconomica,2012,0.282,23,0.49
Journal of Chinese Economic and Business Studies,2012,0.282,11,0.53
Social Geography,2012,0.282,9,0.64
Quarterly Journal of Austrian Economics,2012,0.28,9,0.64
Econ Journal Watch,2012,0.28,13,0.55
Economia Politica,2012,0.28,9,0.68
European Journal of Law and Economics,2012,0.279,24,0.61
Journal of European Real Estate Research,2012,0.279,10,0.58
Journal of Wealth Management,2012,0.278,9,0.36
Economic Analysis and Policy,2012,0.277,18,0.47
Journal of Commercial Biotechnology,2012,0.276,13,0.62
Property Management,2012,0.275,21,0.54
Journal of Property Investment and Finance,2012,0.275,28,0.24
Business and Professional Communication Quarterly,2012,0.275,28,0.57
Asia-Pacific Journal of Financial Studies,2012,0.274,9,0.43
International Journal of Disclosure and Governance,2012,0.274,13,0.52
Spanish Economic Review,2012,0.274,14,0.0
Business Ethics,2012,0.272,21,0.9
Space Policy,2012,0.268,18,0.68
Amfiteatru Economic,2012,0.267,14,0.48
Comparative economic studies,2012,0.266,14,0.58
Asian-Pacific Economic Literature,2012,0.264,18,0.75
International Journal of Revenue Management,2012,0.263,9,0.63
Journal of Financial Services Marketing,2012,0.263,14,0.44
International Journal of Social Economics,2012,0.26,32,0.34
Journal of Economic Education,2012,0.26,41,0.31
Eastern European Economics,2012,0.259,17,0.3
Danube,2012,0.259,5,0.37
International Journal of Technology and Globalisation,2012,0.257,18,0.76
International Economic Journal,2012,0.254,11,0.44
"Journal of Social, Political, and Economic Studies",2012,0.254,8,0.37
Applied Econometrics and International Development,2012,0.254,7,0.27
Education Economics,2012,0.254,27,0.4
Journal of Financial Management of Property and Construction,2012,0.252,13,0.62
"Peace Economics, Peace Science and Public Policy",2012,0.25,12,0.54
Journal of Asian Pacific Communication,2012,0.248,13,0.51
International Research Journal of Finance and Economics,2012,0.246,16,0.25
Journal of Accounting and Organizational Change,2012,0.246,17,0.49
Risk Management and Insurance Review,2012,0.245,12,0.53
Global Economy Journal,2012,0.244,14,0.61
Journal of Internet Banking and Commerce,2012,0.244,16,0.55
Journal of Risk,2012,0.243,7,0.24
Mind and Society,2012,0.243,13,0.64
Journal of Private Equity,2012,0.243,8,0.31
Research in Economics,2012,0.241,22,0.47
Japanese Economic Review,2012,0.241,22,0.17
Managerial Finance,2012,0.241,31,0.37
China: An International Journal,2012,0.24,11,0.78
Transformations in Business and Economics,2012,0.24,16,0.39
EEAG Report on the European Economy,2012,0.24,4,0.1
South African Journal of Economics,2012,0.239,24,0.39
Revista de Economia e Sociologia Rural,2012,0.238,11,0.13
Statistical Journal of the IAOS,2012,0.238,12,0.33
Berichte uber Landwirtschaft,2012,0.237,10,0.35
Economic Notes,2012,0.236,17,0.31
Erasmus Journal for Philosophy and Economics,2012,0.234,6,0.58
IIMB Management Review,2012,0.234,11,0.47
Studies in Economics and Finance,2012,0.232,13,0.44
Panoeconomicus,2012,0.232,12,0.55
Revista de Economia Politica/Brazilian Journal of Political Economy,2012,0.231,13,0.26
Ekonomicky Casopis,2012,0.231,14,0.22
Revue de l'OFCE,2012,0.23,12,0.34
Journal of Real Estate Practice and Education,2012,0.23,11,0.24
International Review on Public and Nonprofit Marketing,2012,0.23,9,0.55
Asia-Pacific Financial Markets,2012,0.229,18,0.42
Journal of Operational Risk,2012,0.229,9,0.92
Accounting Research Journal,2012,0.228,9,0.27
Investment Analysts Journal,2012,0.228,11,0.24
Chinese Economy,2012,0.227,10,0.2
International Trade Journal,2012,0.226,15,0.53
Review of Law and Economics,2012,0.225,15,0.37
WSEAS Transactions on Business and Economics,2012,0.225,12,0.31
International Journal of Housing Markets and Analysis,2012,0.225,11,0.34
South Asia Research,2012,0.224,12,0.56
Intereconomics,2012,0.221,17,0.35
International Journal of Managerial Finance,2012,0.221,16,0.5
Travail et Emploi,2012,0.219,5,0.17
Review of Development Finance,2012,0.218,9,0.83
Journal of Derivatives and Hedge Funds,2012,0.218,7,0.23
Review of Accounting and Finance,2012,0.218,14,0.39
International Journal of Entrepreneurship and Small Business,2012,0.217,23,0.3
Journal of South Asian Development,2012,0.217,9,0.04
Review of Behavioral Finance,2012,0.217,7,0.17
EuroMed Journal of Business,2012,0.215,13,0.54
International Journal of Product Development,2012,0.215,20,0.6
Geographie Economie Societe,2012,0.214,11,0.06
BRQ Business Research Quarterly,2012,0.214,12,0.58
Mondes En Developpement,2012,0.213,9,0.21
Zeitschrift für die gesamte Versicherungswissenschaft,2012,0.212,5,0.14
Transnational Corporations,2012,0.212,20,0.42
Journal of Economic Methodology,2012,0.212,26,0.39
Revue Francaise de Gestion,2012,0.212,15,0.23
Investigaciones de Historia Economica,2012,0.212,8,0.27
Australian Economic History Review,2012,0.211,13,0.42
Ensayos Sobre Politica Economica,2012,0.211,5,0.25
Journal of Enterprising Communities,2012,0.211,16,0.53
Asia-Pacific Journal of Accounting and Economics,2012,0.21,8,0.32
Review of Derivatives Research,2012,0.21,24,0.44
Advances in Consumer Research,2012,0.21,19,0.13
Studies in Political Economy,2012,0.209,13,0.3
Journal of Financial Crime,2012,0.209,15,0.3
International Journal on Hydropower and Dams,2012,0.209,14,0.1
Journal of Risk Finance,2012,0.209,24,0.52
North Korean Review,2012,0.209,5,0.77
Economic Computation and Economic Cybernetics Studies and Research,2012,0.208,13,0.7
International Journal of Entrepreneurship and Innovation Management,2012,0.208,19,0.81
Universia Business Review,2012,0.207,10,0.25
Review of Black Political Economy,2012,0.206,13,0.25
Journal of Entrepreneurship,2012,0.205,11,0.59
Investigaciones Economicas,2012,0.205,9,0.0
Journal of Electronic Commerce Research,2012,0.205,20,1.45
International Journal of Auditing,2012,0.204,10,0.54
Progress in Industrial Ecology,2012,0.204,17,1.21
New Medit,2012,0.203,13,0.22
Journal of Behavioral Finance,2012,0.202,10,0.37
Indian Journal of Labour Economics,2012,0.202,10,0.16
"Travail, Genre et Societe",2012,0.202,12,0.29
International Journal of Accounting and Information Management,2012,0.202,14,0.34
Communications - Scientific Letters of the University of Zilina,2012,0.201,15,0.25
Accounting Perspectives,2012,0.201,13,0.48
"Journal of Targeting, Measurement and Analysis for Marketing",2012,0.2,11,0.35
Ekonomia,2012,0.199,3,0.0
Asia-Pacific Review,2012,0.199,7,0.34
International Journal of Monetary Economics and Finance,2012,0.199,8,0.19
Australian Economic Papers,2012,0.198,11,0.37
Problemas del Desarrollo,2012,0.197,4,0.21
Croatian Economic Survey,2012,0.196,4,0.11
Revue Economique,2012,0.196,16,0.18
Society and Economy,2012,0.196,8,0.47
Estudios de Economia,2012,0.195,10,0.31
Revista de Economia Aplicada,2012,0.195,9,0.55
European Research on Management and Business Economics,2012,0.195,8,0.43
Global Journal of Emerging Market Economies,2012,0.195,6,0.44
Pensions,2012,0.194,4,0.18
Developing Economies,2012,0.194,21,0.54
Asian Journal of WTO and International Health Law and Policy,2012,0.194,6,0.48
Research in Transportation Business and Management,2012,0.193,16,0.74
Ekonomski Pregled,2012,0.192,7,0.26
Economics Bulletin,2012,0.192,23,0.2
Journal of Applied Economic Sciences,2012,0.192,7,0.34
Revue d'Etudes Comparatives Est-Ouest,2012,0.192,8,0.18
Economic Research-Ekonomska Istrazivanja,2012,0.191,11,0.51
Actual Problems of Economics,2012,0.19,10,0.03
Revista Espanola de Financiacion y Contabilidad,2012,0.189,13,0.26
Innovations,2012,0.188,6,0.19
Comparative Economic Research,2012,0.187,3,0.12
McKinsey Quarterly,2012,0.186,28,0.59
Asian Economic Policy Review,2012,0.186,15,0.75
New Zealand Economic Papers,2012,0.185,10,0.34
Journal of Income Distribution,2012,0.183,8,0.22
Frontiers of Economics in China,2012,0.182,9,0.22
Indian Growth and Development Review,2012,0.181,7,0.33
Academy of Entrepreneurship Journal,2012,0.18,7,0.38
Asian Journal of Technology Innovation,2012,0.18,8,0.4
Nova Economia,2012,0.179,5,0.1
Journal of Pharmaceutical Health Services Research,2012,0.178,11,0.52
International Journal of Green Economics,2012,0.177,11,0.32
Journal of the Economic and Social History of the Orient,2012,0.176,22,0.67
Journal of Australian Political Economy,2012,0.175,10,0.42
Eastern Economic Journal,2012,0.175,17,0.4
"European Journal of Economics, Finance and Administrative Sciences",2012,0.173,11,0.25
PharmacoEconomics - German Research Articles,2012,0.173,3,0.75
Decisions in Economics and Finance,2012,0.173,12,0.29
Qualitative Research in Financial Markets,2012,0.172,9,0.43
Journal of Private Enterprise,2012,0.169,7,0.36
Atlantic Economic Journal,2012,0.168,19,0.36
Czech Economic Review,2012,0.168,4,0.38
Journal des Economistes et des Etudes Humaines,2012,0.168,9,0.2
Etudes Rurales,2012,0.167,8,0.23
Journal of Computational Finance,2012,0.166,8,0.25
Journal of Retail and Leisure Property,2012,0.166,10,0.41
Pulp and Paper Canada,2012,0.166,26,0.06
Journal of the History of Economic Thought,2012,0.166,15,0.26
Revista de Economia Mundial,2012,0.166,7,0.2
International Journal of Entrepreneurship,2012,0.165,7,0.25
Economia Aplicada,2012,0.165,7,0.07
Capitalism and Society,2012,0.165,9,0.67
Global Economic Review,2012,0.164,15,0.26
Capital and Class,2012,0.164,20,0.44
Economic Annals,2012,0.164,8,0.23
Journal of the Knowledge Economy,2012,0.163,15,0.37
"Financial Markets, Institutions and Instruments",2012,0.161,19,0.32
China Finance Review International,2012,0.161,6,0.2
Academy of Marketing Studies Journal,2012,0.161,10,0.42
Economics and Policy of Energy and the Environment,2012,0.161,5,0.0
International Journal of Economics and Management,2012,0.16,13,0.34
Academia Revista Latinoamericana de Administracion,2012,0.16,7,0.22
Contributions to Political Economy,2012,0.16,15,0.67
South African Journal of Economic and Management Sciences,2012,0.16,11,0.28
Hacienda Publica Espanola,2012,0.16,10,0.42
Research in Accounting Regulation,2012,0.159,13,0.36
Hitotsubashi Journal of Economics,2012,0.159,8,0.14
Economie et Prevision,2012,0.159,11,0.08
Betriebswirtschaftliche Forschung und Praxis,2012,0.158,5,0.12
World Customs Journal,2012,0.155,10,0.33
Business Information Review,2012,0.154,13,0.24
Investigaciones Regionales,2012,0.154,9,0.18
International Journal of Development Issues,2012,0.153,9,0.17
Agris On-line Papers in Economics and Informatics,2012,0.153,11,0.16
International Journal of Islamic and Middle Eastern Finance and Management,2012,0.151,18,0.42
Revista Brasileira de Economia,2012,0.151,9,0.06
Cyprus Review,2012,0.151,10,0.48
"International Journal of Banking, Accounting and Finance",2012,0.149,7,0.15
China Information,2012,0.149,19,0.73
Journal of Economic Cooperation and Development,2012,0.148,11,0.2
CESifo Forum,2012,0.148,10,0.27
OECD Journal: Economic Studies,2012,0.147,11,0.13
Studies on Russian Economic Development,2012,0.146,8,0.07
Acta Oeconomica,2012,0.146,10,0.29
Pertanika Journal of Social Science and Humanities,2012,0.146,7,0.34
Humanomics,2012,0.146,12,0.27
Singapore Economic Review,2012,0.146,11,0.33
Irish Studies in International Affairs,2012,0.146,7,0.5
Regional and Sectoral Economic Studies,2012,0.146,7,0.13
"Journal of Public Budgeting, Accounting and Financial Management",2012,0.146,5,0.19
Trimestre Economico,2012,0.144,9,0.07
Banks and Bank Systems,2012,0.143,10,0.2
Asian Affairs,2012,0.142,11,0.55
Finance and Development,2012,0.142,28,0.38
Academy of Accounting and Financial Studies Journal,2012,0.142,5,0.12
Social and Economic Studies,2012,0.141,5,0.07
Revista de Economia Institucional,2012,0.141,5,0.14
Risk and Decision Analysis,2012,0.141,6,0.16
Journal of Credit Risk,2012,0.14,7,0.35
Jurnal Ekonomi Malaysia,2012,0.14,4,0.08
Revista de Metodos Cuantitativos para la Economia y la Empresa,2012,0.14,6,0.24
Journal of Economics and Economic Education Research,2012,0.139,4,0.09
Agroalimentaria,2012,0.139,5,0.09
European Research Studies Journal,2012,0.139,19,0.1
Baltic Journal of Economics,2012,0.138,5,0.24
"International Journal of Accounting, Auditing and Performance Evaluation",2012,0.138,12,0.19
Journal of the Statistical and Social Inquiry Society of Ireland,2012,0.138,5,0.3
"International Journal of Services, Economics and Management",2012,0.138,7,0.22
Revue d'Economie Industrielle,2012,0.137,9,0.23
Economic and Labour Relations Review,2012,0.137,12,0.31
Research in Healthcare Financial Management,2012,0.137,8,0.0
DLSU Business and Economics Review,2012,0.136,6,0.25
Cuadernos de Economia,2012,0.136,4,0.09
Jahrbuch für Wirtschaftsgeschichte,2012,0.135,8,0.05
International Advances in Economic Research,2012,0.135,20,0.38
Business Economics,2012,0.133,9,0.3
Asian Academy of Management Journal of Accounting and Finance,2012,0.133,10,0.28
Journal of International Trade Law and Policy,2012,0.132,7,0.13
Asia-Pacific Social Science Review,2012,0.132,4,0.14
"Economia Mexicana, Nueva Epoca",2012,0.13,3,0.05
Juncture,2012,0.13,12,0.33
Journal of Entrepreneurship Education,2012,0.13,8,0.14
Argumenta Oeconomica,2012,0.129,4,0.06
Estudos Economicos,2012,0.129,8,0.13
Asian Review of Accounting,2012,0.129,15,0.39
Asian Social Science,2012,0.128,17,0.11
Graziadio Business Report,2012,0.126,2,0.07
Zbornik Radova Ekonomskog Fakultet au Rijeci,2012,0.126,8,0.17
Recta,2012,0.126,3,0.22
Economics and Sociology,2012,0.125,11,0.14
Cuadernos de Administracion,2012,0.125,6,0.07
Zeitschrift für Wirtschaftsgeographie,2012,0.125,14,0.17
REVESCO Revista de Estudios Cooperativos,2012,0.125,6,0.2
Revista de Economia Contemporanea,2012,0.124,5,0.15
China Nonprofit Review,2012,0.124,3,0.07
JASSA,2012,0.123,4,0.08
Macroeconomics and Finance in Emerging Market Economies,2012,0.123,5,0.08
Economia Chilena,2012,0.123,4,0.18
Journal of Economic Theory and Econometrics,2012,0.123,3,0.03
Ekonomiska Samfundets Tidskrift,2012,0.123,2,0.06
Basic Income Studies,2012,0.123,6,0.19
Economy of Region,2012,0.123,6,0.13
South East European Journal of Economics and Business,2012,0.123,7,0.15
Economic and Labour Market Review,2012,0.123,9,0.18
Vierteljahresschrift fur Sozial und Wirtschaftsgeschichte,2012,0.122,5,0.14
London Business School Review,2012,0.122,10,0.05
Revue d'Economie du Developpement,2012,0.122,7,0.13
Investigacion Economica,2012,0.122,6,0.1
Trziste,2012,0.122,3,0.14
International Journal of Business and Management Science,2012,0.121,7,0.17
African Journal of Economic and Management Studies,2012,0.121,8,0.31
CESifo DICE Report,2012,0.12,7,0.1
CEPAL Review,2012,0.12,10,0.2
Politica Economica,2012,0.12,7,0.15
Investment Management and Financial Innovations,2012,0.119,10,0.06
International Journal of Technoentrepreneurship,2012,0.118,6,0.2
Risk Governance and Control: Financial Markets and Institutions,2012,0.118,3,0.11
Banking Law Journal,2012,0.117,5,0.02
Journal of Advanced Research in Law and Economics,2012,0.117,8,0.08
International Journal of Economic Research,2012,0.117,12,0.0
Journal of Emerging Market Finance,2012,0.117,12,0.23
Fuzzy Economic Review,2012,0.117,8,0.19
Journal of Taxation,2012,0.116,7,0.22
Contemporary Economics,2012,0.116,7,0.14
AStA Wirtschafts- und Sozialstatistisches Archiv,2012,0.116,6,0.12
International Journal of Business and Society,2012,0.116,8,0.14
"World Review of Entrepreneurship, Management and Sustainable Development",2012,0.116,11,0.11
"Journal of International Commerce, Economics and Policy",2012,0.116,3,0.25
Banking and Finance Review,2012,0.116,4,0.03
"International Journal of Energy, Environment and Economics",2012,0.115,5,0.08
Recherches economiques de Louvain,2012,0.115,7,0.04
Israel Economic Review,2012,0.115,3,0.0
Reflets et Perspectives de la Vie Economique,2012,0.115,7,0.03
Afro-Asian Journal of Finance and Accounting,2012,0.114,6,0.0
International Journal of Economics and Financial Issues,2012,0.114,12,0.29
Journal of Hospitality Financial Management,2012,0.114,8,0.03
International Journal of Economic Perspectives,2012,0.114,8,0.04
Entrepreneurial Executive,2012,0.113,5,0.32
Cuadernos de Desarrollo Rural,2012,0.113,6,0.1
Journal of Comparative Asian Development,2012,0.112,6,0.21
Journal of Business Valuation and Economic Loss Analysis,2012,0.112,6,0.67
eJournal of Tax Research,2012,0.112,5,0.19
Academy of Banking Studies Journal,2012,0.111,3,0.0
Review of Economic Perspectives,2012,0.111,5,0.14
International Paperworld IPW,2012,0.111,6,0.02
Privredna Kretanja i Ekonomska Politika,2012,0.111,5,0.0
"Journal of King Abdulaziz University, Islamic Economics",2012,0.111,6,0.13
International Journal of Applied Business and Economic Research,2012,0.111,8,0.03
Asian Affairs,2012,0.111,4,0.5
Open Pharmacoeconomics and Health Economics Journal,2012,0.111,3,0.5
Fortune,2012,0.11,13,0.15
Revista de Analisis Economico,2012,0.11,4,0.33
International Journal of Economic Policy in Emerging Economies,2012,0.11,7,0.16
Journal of Interdisciplinary Economics,2012,0.109,6,0.14
China Business Review,2012,0.109,10,0.14
International Journal of Business,2012,0.109,6,0.08
South Asia Economic Journal,2012,0.108,10,0.1
Ekonomista,2012,0.107,2,0.0
International Insolvency Review,2012,0.107,6,0.33
ATA Journal of Legal Tax Research,2012,0.105,1,0.0
Mediterranean Journal of Social Sciences,2012,0.105,16,0.0
Global Business and Economics Review,2012,0.105,9,0.21
Journal for Studies in Economics and Econometrics,2012,0.104,7,0.18
Latin American Journal of Economics,2012,0.104,10,0.1
Revue Internationale de Droit Economique,2012,0.104,6,0.03
Desarrollo y Sociedad,2012,0.104,3,0.08
Actuel Marx,2012,0.104,3,0.09
Economies et Societes,2012,0.103,2,0.0
Algorithmic Finance,2012,0.103,5,0.17
Revista Galega de Economia,2012,0.103,5,0.05
Review of Economic Conditions in Italy,2012,0.103,5,0.0
Spanish Review of Financial Economics,2012,0.103,5,0.13
Eurasian Economic Review,2012,0.103,6,0.13
Eurasian Business Review,2012,0.102,9,0.1
Energy Studies Review,2012,0.102,3,0.06
Cuadernos de Economia,2012,0.101,3,0.07
African Economic History,2012,0.101,7,0.0
History of Economic Ideas,2012,0.101,4,0.0
Middle East Business and Economic Review,2012,0.101,2,0.0
International Commerce Review,2012,0.101,3,0.06
Economist,2012,0.101,8,0.01
Rivista Internazionale di Scienze Sociali,2012,0.101,5,0.03
Economia delle Fonti di Energia e dell'Ambiente,2012,0.101,2,0.0
Revista de Economia del Rosario,2012,0.101,3,0.0
Gadjah Mada International Journal of Business,2012,0.101,5,0.0
Malaysian Journal of Economic Studies,2012,0.101,6,0.0
Malaysian Journal of Consumer and Family Economics,2012,0.101,2,0.05
Journal of International Studies,2012,0.1,7,0.0
Real Estate Taxation,2012,0.1,2,0.0
OPEC Bulletin,2012,0.1,2,0.0
Desarrollo Economico: Revista de Ciencias Sociales,2012,0.1,15,0.11
Ikonomicheski Izsledvania,2012,0.1,2,0.03
Economic Outlook,2012,0.1,6,0.08
Fuels and Lubes International,2012,0.1,2,0.0
Journal of Home Economics Research,2012,0.1,1,0.01
Journal of European Economic History,2012,0.0,3,0.0
Revista de Estudios Regionales,2012,0.0,4,0.0
Legal Issues of Economic Integration,2012,0.0,7,0.0
Economics,2012,0.0,10,0.0
"Citizenship, Social and Economics Education",2012,0.0,4,0.0
Scienze Regionali,2012,0.0,9,0.0
Korean Economic Review,2012,0.0,2,0.0
Value in Health Regional Issues,2012,0.0,11,0.0
America Latina en la Historia Economica,2012,0.0,3,0.0
