Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories;Unnamed: 19
2969;16800154736;Hesperia;journal;0018098X, 15535622;0.243;Q2;22;21;63;2248;31;60;0.57;107.05;Greece;American School of Classical Studies;2002-ongoing;"Classics (Q1); History (Q1); Archeology (Q2); Archeology (arts and humanities) (Q2)";
2970;10800153306;Revista de Administracao Publica;journal;19823134, 00347612;0.243;Q3;13;48;201;1820;72;199;0.35;37.92;Brazil;Escola Brasileira de Administracao Publica da Fundacao Getulio Vargas;2007-ongoing;Public Administration (Q3);
2971;6500153212;Screen;journal;00369543, 14602474;0.243;Q1;24;34;91;1466;47;87;0.34;43.12;United Kingdom;Oxford University Press;1969-ongoing;"Cultural Studies (Q1); Visual Arts and Performing Arts (Q1); Communication (Q3)";
2972;5800155978;Slavisticna Revija;journal;3506894;0.243;Q2;6;39;131;1015;25;129;0.25;26.03;Slovenia;Slavisticna Drustvo Slovenije;2008-ongoing;"Literature and Literary Theory (Q1); Language and Linguistics (Q2); Linguistics and Language (Q2)";
2973;21100269634;2013 5th International Conference on Games and Virtual Worlds for Serious Applications, VS-GAMES 2013;conference and proceedings;2013;0.242;-;7;0;33;0;51;31;0;0;United States;;2013;"Computer Graphics and Computer-Aided Design; Computer Science Applications; Computer Vision and Pattern Recognition; E-learning";
2974;21100381293;Children Australia;journal;10350772, 20497776;0.242;Q3;5;28;95;1003;29;88;0.31;35.82;United Kingdom;Cambridge University Press;2008, 2014-ongoing;"Health (social science) (Q3); Sociology and Political Science (Q3); Developmental and Educational Psychology (Q4)";
2975;19700187613;Diaspora, Indigenous, and Minority Education;journal;15595692;0.242;Q2;8;20;54;802;26;50;0.52;40.1;United States;Lawrence Erlbaum Associates, Inc.;2010-ongoing;"Cultural Studies (Q2); Education (Q3)";
2976;21100310035;Economic Annals-XXI;journal;17286239, 17286220;0.242;Q3;8;155;686;3037;189;686;0.35;19.59;Ukraine;Institute of Society Transformation;2013-ongoing;"Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q3)";
2977;20500195207;European Journal of Tourism Research;journal;13140817, 19947658;0.242;Q3;12;41;78;1943;48;70;0.59;47.39;Bulgaria;International University College;2008-ongoing;"Geography, Planning and Development (Q3); Tourism, Leisure and Hospitality Management (Q4)";
2978;144975;Family Journal;journal;10664807;0.242;Q3;28;52;157;1863;86;154;0.52;35.83;United States;SAGE Publications;1993-ongoing;"Social Sciences (miscellaneous) (Q3); Social Psychology (Q4)";
2979;25616;Perspektiven der Wirtschaftspolitik;journal;14656493, 14682516;0.242;Q3;13;29;100;1108;29;78;0.49;38.21;Germany;Walter de Gruyter GmbH;2001-ongoing;"Geography, Planning and Development (Q3); Political Science and International Relations (Q3)";
2980;21100779057;World Leisure Journal;journal;23334509, 16078055;0.242;Q2;20;25;100;963;45;87;0.72;38.52;United Kingdom;Taylor and Francis Ltd.;2000-2013, 2015-ongoing;"Cultural Studies (Q2); Social Psychology (Q4); Tourism, Leisure and Hospitality Management (Q4)";
2981;19700181417;Acta Borealia;journal;1503111X, 08003831;0.241;Q2;12;10;30;640;22;29;0.33;64;United Kingdom;Routledge;1984-1994, 1996-ongoing;"History (Q1); Anthropology (Q2); Cultural Studies (Q2); Sociology and Political Science (Q3)";
2982;19700182354;Movimento;journal;19828918, 0104754X;0.241;Q3;9;98;216;3079;64;207;0.31;31.42;Brazil;Universidade Federal do Rio Grande do Sul;2010-ongoing;Education (Q3);
2983;21100229104;Asia-Pacific Journal of Cooperative Education;journal;11752882;0.24;Q3;9;27;74;1055;72;74;0.9;39.07;New Zealand;Asia-Pacific Journal of Cooperative Education;2012-2017;Education (Q3);
2984;21100223134;Cuaternario y Geomorfologia;journal;2141744;0.24;Q3;7;16;47;525;17;42;0.38;32.81;Spain;The Spanish Quaternary Research Association (AEQUA) and the Spanish Society of Geomorphology (SEG);2012-ongoing;"Earth-Surface Processes (Q3); Geography, Planning and Development (Q3); Geology (Q4); Paleontology (Q4)";
2985;21100225852;Current Swedish Archaeology;journal;11027355, 20023901;0.24;Q2;6;12;40;492;22;33;0.7;41;Sweden;Svenska Arkeologiska Samfundet, Goteborgs universitet;2011-ongoing;"Archeology (Q2); Archeology (arts and humanities) (Q2)";
2986;11800154546;Egitim Arastirmalari - Eurasian Journal of Educational Research;journal;1302597X;0.24;Q3;11;84;111;3233;50;110;0.46;38.49;Turkey;ANI Publishing;2008-ongoing;Education (Q3);
2987;26824;Genus;journal;166987;0.24;Q3;9;11;48;498;28;43;0.5;45.27;Italy;Springer International Publishing AG;1970, 1975-1998, 2007-ongoing;Demography (Q3);
2988;83082;Historia Agraria;journal;11391472, 23403659;0.24;Q3;14;17;50;967;20;50;0.44;56.88;Spain;Universidad de Murcia;1998-ongoing;"History (Q1); Agricultural and Biological Sciences (miscellaneous) (Q3); Arts and Humanities (miscellaneous) (Q3); Geography, Planning and Development (Q3)";
2989;19600161833;Journal fÃ¼r Mathematik-Didaktik;journal;1735322;0.24;Q3;11;25;41;1392;13;39;0.37;55.68;Germany;Springer Verlag;1997-ongoing;"Education (Q3); Mathematics (miscellaneous) (Q4)";
2990;21100217205;Journal of Borderlands Studies;journal;8865655;0.24;Q3;9;36;94;1603;68;86;0.84;44.53;United Kingdom;Taylor and Francis Inc.;1986-1995, 2012-ongoing;"Geography, Planning and Development (Q3); Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";
2991;53663;Journal of Near Eastern studies;journal;222968;0.24;Q2;14;18;56;2630;37;56;0.74;146.11;United States;University of Chicago Press;1968, 1974, 1980, 1982-1988, 1992-1994, 1996-ongoing;"Archeology (Q2); Cultural Studies (Q2); Linguistics and Language (Q2); Arts and Humanities (miscellaneous) (Q3)";
2992;145735;Language Learning Journal;journal;9571736;0.24;Q2;21;36;76;1561;46;66;0.6;43.36;United Kingdom;Taylor & Francis;1990-ongoing;"Language and Linguistics (Q2); Linguistics and Language (Q2); Education (Q3)";
2993;5800207391;The Journal of Adult Protection;journal;14668203;0.24;Q3;15;30;101;1050;63;94;0.66;35;United Kingdom;Emerald Group Publishing Ltd.;1999-ongoing;"Law (Q3); Sociology and Political Science (Q3)";
2994;19900191746;Asia-Pacific Journal of Business Administration;journal;17574331, 17574323;0.239;Q3;12;17;51;1280;42;47;0.52;75.29;United Kingdom;Emerald Group Publishing Ltd.;2009-ongoing;"Business, Management and Accounting (miscellaneous) (Q3); Public Administration (Q3)";
2995;21100286463;Geojournal of Tourism and Geosites;journal;20651198, 20650817;0.239;Q3;7;21;57;655;40;57;0.85;31.19;Romania;Editura Universitati din Oradea;2013-ongoing;"Earth and Planetary Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3)";
2996;16800154745;Journal for the Study of the Historical Jesus;journal;14768690, 17455197;0.239;Q2;10;17;46;571;20;40;0.32;33.59;Netherlands;Brill;2003-ongoing;"History (Q1); Religious Studies (Q1); Linguistics and Language (Q2)";
2997;19700173116;Journal of Children's Services;journal;17466660;0.239;Q3;18;23;77;1132;42;74;0.36;49.22;United Kingdom;Emerald Group Publishing Ltd.;2006-ongoing;"Education (Q3); Health (social science) (Q3); Law (Q3); Sociology and Political Science (Q3); Developmental and Educational Psychology (Q4)";
2998;25314;Journal of Drug Education;journal;15414159, 00472379;0.239;Q3;36;8;41;371;18;41;0.39;46.38;United States;SAGE Publications Inc.;1972-ongoing;"Health (social science) (Q3); Medicine (miscellaneous) (Q3); Psychiatry and Mental Health (Q3); Public Health, Environmental and Occupational Health (Q3)";
2999;6400153174;Journal of Transformative Education;journal;15527840, 15413446;0.239;Q3;24;21;58;758;55;50;1.24;36.1;United States;SAGE Publications;2003-ongoing;Education (Q3);
3000;16838;Journal of Undergraduate Neuroscience Education;journal;15442896;0.239;Q3;14;35;84;580;54;73;0.6;16.57;United States;Davison College;2002-2016 (cancelled);"Education (Q3); Neuroscience (miscellaneous) (Q4)";
3001;5600152903;Labor Studies Journal;journal;0160449X;0.239;Q3;21;26;47;849;24;43;0.45;32.65;United States;SAGE Publications;1996-ongoing;"Arts and Humanities (miscellaneous) (Q3); Industrial Relations (Q3); Sociology and Political Science (Q3)";
3002;21100423330;Osmanli Arastirmalari - Journal of Ottoman Studies;journal;2550636;0.239;Q2;3;27;20;1186;11;20;0.55;43.93;Turkey;ISAM, Turkish Religious Foundation Centre for Islamic Studies;2015-ongoing;"History (Q1); Cultural Studies (Q2)";
3003;19700174616;Pedagogische Studien;journal;1650645;0.239;Q3;7;17;89;714;32;85;0.29;42;Netherlands;Wolters-Noordhoff;2009-ongoing;Education (Q3);
3004;4900152713;Revista de Economia e Sociologia Rural;journal;1032003;0.239;Q3;13;36;141;1458;63;140;0.37;40.5;Brazil;Sociedade Brasileira de Economia e Sociologia Rural;2006-ongoing;"Agronomy and Crop Science (Q3); Economics and Econometrics (Q3); Forestry (Q3); Social Sciences (miscellaneous) (Q3)";
3005;4700152835;American Journal of Sexuality Education;journal;15546136, 15546128;0.238;Q3;13;20;75;756;36;67;0.49;37.8;United States;Haworth Press Inc.;2005-ongoing;Education (Q3);
3006;25087;Criminal Law Forum;journal;10468374;0.238;Q3;18;16;53;1006;30;52;0.58;62.88;Netherlands;Springer Netherlands;1989-1997, 1999-2002, 2004-ongoing;Law (Q3);
3007;21100286889;Cuadernos de Turismo;journal;11397861;0.238;Q3;5;39;81;838;32;81;0.4;21.49;Spain;Escuela Universitaria de Turismo, Universidad de Murcia;2013-ongoing;"Geography, Planning and Development (Q3); Nature and Landscape Conservation (Q3); Tourism, Leisure and Hospitality Management (Q4)";
3008;21100264483;Cuadernos.info;journal;0719367X, 07193661;0.238;Q3;6;29;85;1471;38;82;0.59;50.72;Chile;Facultad de Comunicaciones de la Pontificia Universidad Catolica de Chile;2013-ongoing;"Communication (Q3); Library and Information Sciences (Q3)";
3009;13220;European Journal of Health Law;journal;09290273, 15718093;0.238;Q3;19;48;160;668;56;154;0.34;13.92;Netherlands;Martinus Nijhoff Publishers;1994-ongoing;"Health Policy (Q3); Law (Q3)";
3010;5700165092;Global Change, Peace and Security;journal;14781158;0.238;Q3;13;26;77;1407;58;72;0.7;54.12;United Kingdom;Routledge;2008-ongoing;"Political Science and International Relations (Q3); Sociology and Political Science (Q3)";
3011;21100198458;IEEE Vehicular Networking Conference, VNC;conference and proceedings;00002011, 00002013;0.238;-;20;53;95;808;156;93;1.5;15.25;United States;;2011-2013;"Automotive Engineering; Computer Networks and Communications; Control and Systems Engineering; Electrical and Electronic Engineering; Transportation";
3012;21100200624;International Journal of Performance Arts and Digital Media;journal;20400934, 14794713;0.238;Q3;9;20;49;358;19;44;0.62;17.9;United Kingdom;Taylor & Francis;2005-ongoing;"Visual Arts and Performing Arts (Q1); Communication (Q3)";
3013;21100794697;Journal of Spanish Language Teaching;journal;23247800, 23247797;0.238;Q2;4;12;20;522;15;18;0.83;43.5;United Kingdom;Taylor and Francis Ltd.;2014-ongoing;"Language and Linguistics (Q2); Linguistics and Language (Q2); Education (Q3)";
3014;21100216547;Journal of Urban Regeneration and Renewal;journal;17529638, 17529646;0.238;Q2;8;35;126;841;29;111;0.21;24.03;United Kingdom;Henry Stewart Publications;2011-ongoing;Urban Studies (Q2);
3015;26523;Mediterranean Quarterly;journal;15271935, 10474552;0.238;Q3;14;30;90;968;28;80;0.28;32.27;United States;Duke University Press;1995-ongoing;"Geography, Planning and Development (Q3); Political Science and International Relations (Q3)";
3016;18390;Russian Politics and Law;journal;10611940;0.238;Q3;8;29;100;362;37;96;0.26;12.48;United States;M.E. Sharpe Inc.;1992-ongoing;"Law (Q3); Sociology and Political Science (Q3)";
3017;19600161815;Australian Journal of Environmental Education;journal;8140626;0.237;Q3;15;24;65;885;27;55;0.33;36.88;United Kingdom;Cambridge University Press;1984-1999, 2001-ongoing;"Education (Q3); Environmental Science (miscellaneous) (Q3)";
3018;5700153334;Changing English;journal;1358684X;0.237;Q2;9;34;122;937;54;108;0.49;27.56;United States;Routledge;1994-1995, 2010-ongoing;"Cultural Studies (Q2); Education (Q3)";
3019;5100155019;Estudios Pedagogicos;journal;0716050X;0.237;Q3;13;103;186;3915;79;183;0.35;38.01;Chile;Universidad Austral de Chile;1997-2002, 2006-ongoing;Education (Q3);
3020;19700174971;Indian Journal of Forensic Medicine and Toxicology;journal;09739122, 09739130;0.237;Q3;18;145;386;1936;41;386;0.09;13.35;India;Aall India Institute of Medical Sciences;2008-ongoing;"Law (Q3); Pathology and Forensic Medicine (Q3); Health, Toxicology and Mutagenesis (Q4); Toxicology (Q4)";
3021;25818;International Journal of Refugee Law;journal;14643715, 09538186;0.237;Q3;30;31;84;1178;58;71;0.58;38;United Kingdom;Oxford University Press;1989-ongoing;"Demography (Q3); Law (Q3); Management, Monitoring, Policy and Law (Q3)";
3022;23717;International Journal of Social Economics;journal;3068293;0.237;Q3;34;90;208;4252;133;207;0.56;47.24;United Kingdom;Emerald Group Publishing Ltd.;1974-ongoing;"Economics and Econometrics (Q3); Social Sciences (miscellaneous) (Q3)";
3023;21100446217;Journal of International Education in Business;journal;18363261;0.237;Q3;8;9;30;417;18;30;0.71;46.33;United Kingdom;Emerald Group Publishing Ltd.;2008-ongoing;"Business, Management and Accounting (miscellaneous) (Q3); Education (Q3)";
3024;19700200934;Language and History;journal;17597536, 17597544;0.237;Q2;4;11;24;360;9;23;0.5;32.73;United Kingdom;Maney Publishing;2011-ongoing;"Language and Linguistics (Q2); Linguistics and Language (Q2)";
3025;5800169372;Revista de Economia Politica/Brazilian Journal of Political Economy;journal;1013157;0.237;Q3;14;43;125;1633;46;125;0.26;37.98;Brazil;Centro de Economia Politica;2007-ongoing;"Economics, Econometrics and Finance (miscellaneous) (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";
3026;27489;Asian Geographer;journal;10225706;0.236;Q3;4;8;8;558;8;8;1;69.75;United Kingdom;Routledge;1982-1987, 1991-1995, 2015-ongoing;Geography, Planning and Development (Q3);
3027;21100201540;Economia Agraria y Recursos Naturales;journal;15780732;0.236;Q3;7;12;51;462;16;44;0.24;38.5;Spain;Associacion Espanola de Economia Agraria;2011-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Geography, Planning and Development (Q3)";
3028;19900191750;Motriz. Revista de Educacao Fisica;journal;14159805, 19806574;0.236;Q3;11;66;214;2385;116;211;0.48;36.14;Brazil;Universidade Estadual Paulista (UNESP);2010-ongoing;"Health (social science) (Q3); Medicine (miscellaneous) (Q3); Sports Science (Q4)";
3029;33587;Nomadic Peoples;journal;8227942;0.236;Q3;16;13;37;595;24;33;0.75;45.77;United States;Berghahn Books Inc.;1982-1983, 1985, 1990-1994, 2005-ongoing;Demography (Q3);
3030;21100228131;Studies in Communication Sciences;journal;14244896;0.236;Q3;6;27;70;1085;35;59;0.61;40.19;Germany;Elsevier GmbH;2012-ongoing;Communication (Q3);
3031;19700186882;Advances in Transportation Studies;journal;18245463;0.235;Q4;12;55;159;1375;67;157;0.44;25;Italy;Aracne Editrice;2004-ongoing;"Automotive Engineering (Q3); Civil and Structural Engineering (Q3); Safety, Risk, Reliability and Quality (Q3); Transportation (Q4)";
3032;19700194007;African Security Review;journal;21540128, 10246029;0.235;Q3;8;36;106;1893;45;90;0.4;52.58;United Kingdom;Taylor and Francis Ltd.;1995, 2010-ongoing;"Law (Q3); Political Science and International Relations (Q3); Safety Research (Q3)";
3033;53958;Agrekon;journal;03031853, 20780400;0.235;Q3;21;20;83;983;42;83;0.37;49.15;United Kingdom;Taylor & Francis;1962-ongoing;"Agronomy and Crop Science (Q3); Economics and Econometrics (Q3); Geography, Planning and Development (Q3)";
3034;29546;Australian Journal of Educational and Developmental Psychology;journal;14465442;0.235;Q3;18;0;27;0;16;24;0.72;0;Australia;University of Newcastle;2001-ongoing;"Education (Q3); Developmental and Educational Psychology (Q4)";
3035;23339;Chemical Research in Chinese Universities;journal;10059040;0.235;Q3;21;176;624;5670;535;621;1.03;32.22;Switzerland;Springer International Publishing AG;1999-ongoing;"Chemistry (miscellaneous) (Q3); Education (Q3)";
3036;21100388414;Crossings;journal;20404352, 20404344;0.235;Q2;7;16;37;391;21;36;0.58;24.44;United Kingdom;Intellect Publishers;2014-ongoing;"Anthropology (Q2); Cultural Studies (Q2); Demography (Q3)";
3037;21100242609;Insights;journal;20487754;0.235;Q3;13;44;146;367;55;136;0.42;8.34;United Kingdom;United Kingdom Serials Group;2012-ongoing;Library and Information Sciences (Q3);
3038;5600153115;Tempo Social: Revista de Sociologia da USP;journal;1032070;0.235;Q3;7;34;81;1071;19;80;0.18;31.5;Brazil;Universidade de Sao Paulo;2007-ongoing;Social Sciences (miscellaneous) (Q3);
3039;27887;Horizons;journal;20508557, 03609669;0.234;Q3;6;20;50;969;7;42;0.13;48.45;United Kingdom;Cambridge University Press;1970, 1974-ongoing;"Religious Studies (Q1); Education (Q3)";
3040;4700152748;Journal of Electronic Resources in Medical Libraries;journal;15424065;0.234;Q3;10;25;70;257;38;69;0.58;10.28;United States;Haworth Information Press;2003-ongoing;"Health (social science) (Q3); Library and Information Sciences (Q3)";
3041;21100200601;Journal of Language and Literature;journal;20780303;0.234;Q2;9;137;369;2084;205;369;0.59;15.21;Azerbaijan;Progress IPS LLC;2011-2016 (cancelled);"Literature and Literary Theory (Q1); Language and Linguistics (Q2); Linguistics and Language (Q2)";
3042;12100156062;Photographies;journal;17540763;0.234;Q2;9;22;62;642;21;59;0.34;29.18;United Kingdom;Routledge;2008-ongoing;"Visual Arts and Performing Arts (Q1); Cultural Studies (Q2); Communication (Q3)";
3043;5700176240;Practice (UK);journal;17424909, 09503153;0.234;Q3;13;24;73;829;30;57;0.46;34.54;United Kingdom;Taylor & Francis;1987-1992, 1994-1995, 2008-ongoing;"Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";
3044;15272;Spanish Journal of Psychology;journal;19882904, 11387416;0.234;Q2;34;85;386;3522;220;386;0.47;41.44;United Kingdom;Cambridge University Press;1998-ongoing;"Language and Linguistics (Q2); Linguistics and Language (Q2); Psychology (miscellaneous) (Q3)";
3045;40068;Ethnohistory;journal;15275477, 00141801;0.233;Q2;24;25;100;1427;31;93;0.34;57.08;United States;Duke University Press;1970, 1975-1977, 1981, 1983-1984, 1986, 1996-ongoing;"History (Q1); Anthropology (Q2)";
3046;5700166959;Human Rights Review;journal;15248879;0.233;Q3;17;20;59;1481;52;57;0.62;74.05;Netherlands;Springer Netherlands;2000-ongoing;"Law (Q3); Sociology and Political Science (Q3)";
3047;19700183131;International Journal of Innovation in Science and Mathematics Education;journal;22004270;0.233;Q3;10;26;116;890;58;104;0.51;34.23;Australia;University of Sydney;2010-ongoing;Education (Q3);
3048;15593;Journal of Asian and African Studies;journal;219096;0.233;Q3;23;38;149;1493;88;146;0.52;39.29;United States;SAGE Publications;1966-ongoing;"Development (Q3); Geography, Planning and Development (Q3)";
3049;300147004;Journal of Educational Media and Library Science;journal;1013090X;0.233;Q3;7;15;59;646;14;51;0.36;43.07;Taiwan;Tamkang University;2005-ongoing;"Archeology (arts and humanities) (Q2); Conservation (Q2); Information Systems (Q3); Library and Information Sciences (Q3)";
3050;5700188665;Journal of English Linguistics;journal;00754242, 15525457;0.233;Q2;25;13;50;596;40;41;1.03;45.85;United States;SAGE Publications Inc.;1967-1981, 1983-1989, 1996-ongoing;"Language and Linguistics (Q2); Linguistics and Language (Q2)";
3051;17600155318;Journal of Language Contact;journal;19552629;0.233;Q2;13;19;44;884;17;41;0.15;46.53;France;Journal of Language Contact Publishers;2007-ongoing;"Literature and Literary Theory (Q1); Language and Linguistics (Q2); Linguistics and Language (Q2)";
3052;19700200930;Lahivordlusi/Lahivertailuja;book series;22283854, 17369290;0.233;Q2;6;17;39;505;11;34;0.29;29.71;Estonia;Estonian Association for Applied Linguistics;2011-ongoing;"Language and Linguistics (Q2); Linguistics and Language (Q2)";
3053;21100199128;REVESCO Revista de Estudios Cooperativos;journal;18858031, 11356618;0.233;Q3;7;27;81;1254;50;79;0.46;46.44;Spain;Universidad Complutense de Madrid;2011-ongoing;"Economics and Econometrics (Q3); Social Sciences (miscellaneous) (Q3)";
3054;21100202508;Revista Brasileira de Orientacao Profissional;journal;16793390;0.233;Q3;6;24;72;867;22;66;0.22;36.13;Brazil;Universidade de Sao Paulo, Faculdade de Filosofia;2011-ongoing;"Education (Q3); Organizational Behavior and Human Resource Management (Q3); Applied Psychology (Q4)";
3055;19500156802;Turkish Online Journal of Educational Technology;journal;13036521;0.233;Q3;28;524;666;11698;246;661;0.28;22.32;Turkey;Sakarya University;2008-2017 (cancelled);"Education (Q3); E-learning (Q3)";
3056;55750;Human Ecology Review;journal;10744827;0.232;Q3;35;6;35;321;22;35;0.4;53.5;United States;Society for Human Ecology;1998-ongoing;"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)";
3057;21100206205;IEEE Global Engineering Education Conference, EDUCON;conference and proceedings;00002013, 00002012;0.232;-;17;193;535;3474;356;532;0.74;18;United States;;2012-2013;"Education; Engineering (miscellaneous); Information Systems and Management";
3058;12679;IEEE Technology and Society Magazine;journal;2780097;0.232;Q3;29;71;183;919;133;118;0.82;12.94;United States;Institute of Electrical and Electronics Engineers;1982-ongoing;"Engineering (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)";
3059;66262;International Journal of Continuing Engineering Education and Life-Long Learning;journal;15604624, 17415055;0.232;Q3;19;29;87;715;39;81;0.49;24.66;United Kingdom;Inderscience Publishers;1990-ongoing;"Education (Q3); E-learning (Q3); Engineering (miscellaneous) (Q3)";
3060;145600;International Journal of Law and Information Technology;journal;9670769;0.232;Q3;14;16;40;889;33;39;0.69;55.56;United Kingdom;Oxford University Press;1993-1995, 2004-ongoing;"Law (Q3); Library and Information Sciences (Q3)";
3061;14000156149;Journal of Folklore Research;journal;15430413, 07377037;0.232;Q2;13;11;41;670;20;38;0.37;60.91;United States;Indiana University Press;2002-ongoing;"Music (Q1); Cultural Studies (Q2)";
3062;23403;Journal of Homeland Security and Emergency Management;journal;15477355;0.232;Q3;17;24;102;888;69;101;0.7;37;Germany;Walter de Gruyter GmbH;2004-ongoing;"Business, Management and Accounting (miscellaneous) (Q3); Safety Research (Q3); Safety, Risk, Reliability and Quality (Q3)";
3063;24834;Journal of Value Inquiry;journal;15730492, 00225363;0.232;Q3;16;44;113;563;42;105;0.17;12.8;Netherlands;Kluwer Academic Publishers;1967-ongoing;"Philosophy (Q2); Law (Q3); Social Sciences (miscellaneous) (Q3)";
3064;29730;Lurralde;journal;2115891;0.232;Q3;3;7;19;608;3;19;0.15;86.86;Spain;Instituto Geografico Vasco Andres de Urdaneta;1989-1995, 2006-ongoing;Social Sciences (miscellaneous) (Q3);
3065;31428;Proceedings of the ASIST Annual Meeting;journal;15508390;0.232;Q3;36;0;337;0;199;337;0.35;0;United States;Wiley-Blackwell;1979-1987, 1992, 1996-2004, 2006-2014;"Information Systems (Q3); Library and Information Sciences (Q3)";
3066;29502;Race and Class;journal;3063968;0.232;Q2;34;37;93;1196;85;87;1.02;32.32;United States;SAGE Publications;1959, 1962-ongoing;"Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2); Cultural Studies (Q2); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";
3067;21100297603;Research in the Sociology of Sport;book series;14762854;0.232;Q3;7;24;28;1432;16;27;0.92;59.67;United Kingdom;Emerald Group Publishing Ltd.;2012-ongoing;"Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Social Psychology (Q4)";
3068;21100371203;Revista de Derecho Politico;journal;21745625;0.232;Q3;3;29;61;1411;10;61;0.16;48.66;Spain;Universidad Nacional de Educacion a Distancia (UNED);2014-ongoing;"Law (Q3); Clinical Biochemistry (Q4); Molecular Biology (Q4)";
3069;19700170190;The Journal of Men's Studies;journal;10608265, 19330251;0.232;Q2;9;20;63;1017;40;61;0.73;50.85;United States;SAGE Publications Inc.;2012-ongoing;"Cultural Studies (Q2); Gender Studies (Q3); Social Psychology (Q4)";
3070;5800207394;Child Care in Practice;journal;13575279;0.231;Q3;15;31;86;1135;47;73;0.64;36.61;United Kingdom;Taylor & Francis;1994-1995, 2007-ongoing;"Community and Home Care (Q3); Education (Q3); Health (social science) (Q3); Pediatrics (Q3); Pediatrics, Perinatology and Child Health (Q3); Developmental and Educational Psychology (Q4)";
3071;13384;Health Care Manager;journal;15255794, 1550512X;0.231;Q3;22;43;145;1234;73;128;0.6;28.7;United States;Lippincott Williams & Wilkins Ltd.;1999-ongoing;"Care Planning (Q3); Health Policy (Q3); Health (social science) (Q3); Leadership and Management (Q3); Medicine (miscellaneous) (Q3)";
3072;5700160560;Islamic Law and Society;journal;9289380;0.231;Q3;12;12;31;442;24;31;0.74;36.83;Netherlands;Brill;2007-ongoing;"Law (Q3); Sociology and Political Science (Q3)";
3073;5600153506;Israel Affairs;journal;13537121;0.231;Q2;9;41;114;1601;24;109;0.26;39.05;United Kingdom;Frank Cass Publishers;1994-1995, 2008-ongoing;"History (Q1); Cultural Studies (Q2); Political Science and International Relations (Q3)";
3074;21100448939;Journal of Applied Research in Higher Education;journal;17581184, 20507003;0.231;Q3;9;35;75;1459;29;75;0.21;41.69;United Kingdom;Emerald Group Publishing Ltd.;2009-ongoing;Education (Q3);
3075;14076;Libres;journal;10586768;0.231;Q3;10;10;25;430;14;25;0.39;43;Australia;Curtin University of Technology;1996-ongoing;Library and Information Sciences (Q3);
3076;5600155076;Revista de Estudios Sociales;journal;0123885X;0.231;Q2;8;51;196;2139;35;159;0.17;41.94;Colombia;Universidad de los Andes;2009-ongoing;"History (Q1); Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3); Gender Studies (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";
3077;21100427224;Speech, Language and Hearing;journal;20505728;0.231;Q2;6;26;91;1129;26;78;0.3;43.42;United Kingdom;Taylor and Francis Ltd.;2013-ongoing;"Linguistics and Language (Q2); Otorhinolaryngology (Q3); Speech and Hearing (Q4)";
3078;19700170288;Visual Communication Quarterly;journal;15551393;0.231;Q3;8;25;67;667;21;56;0.3;26.68;United Kingdom;Routledge;1994-1995, 2010-ongoing;"Communication (Q3); Education (Q3)";
3079;19700188157;Education 3-13;journal;14757575, 03004279;0.23;Q3;12;58;146;2425;77;132;0.61;41.81;United States;Routledge;1970, 1973-1995, 2010-ongoing;"Education (Q3); Life-span and Life-course Studies (Q3)";
3080;19700188235;Journal of Media and Religion;journal;15348423, 15348415;0.23;Q3;8;17;47;926;16;44;0.23;54.47;United Kingdom;Routledge;2010-ongoing;"Religious Studies (Q1); Communication (Q3)";
3081;21100378965;Journal of Social Science Education;journal;16185293;0.23;Q3;4;31;92;1102;32;74;0.43;35.55;Germany;Sowi-online;2015-ongoing;Education (Q3);
3082;19700173001;Journals of Intellectual Property Rights;journal;09717544, 09751076;0.23;Q3;12;34;143;1318;55;143;0.35;38.76;India;National Institute of Science Communication and Information Resources (NISCAIR);2008-ongoing;Law (Q3);
3083;27358;New Review of Information Networking;journal;13614576, 17407869;0.23;Q3;12;11;35;328;13;34;0.22;29.82;United Kingdom;Taylor & Francis;1995-2008, 2010-ongoing;"Computer Networks and Communications (Q3); Education (Q3); Human-Computer Interaction (Q3); Information Systems (Q3)";
3084;5600153163;New Zealand Sociology;journal;0112921X;0.23;Q3;7;71;141;2999;57;111;0.41;42.24;New Zealand;New Zealand Sociology;2010-ongoing;Social Sciences (miscellaneous) (Q3);
